"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"279",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,"Loyola University - Chicago, IL",NA,NA,"Catholic","Senior consultant"
"281","$174,000","(2012) $324,003","November 6, 2018","June 30, 2020",NA,"University of Colorado, 1975",NA,NA,"Christian: Protestant","Attorney"
"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,"August 18, 2020",NA,"University of the State of New York","United States Navy","1982 - 2008",NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
